MSOA,LSOA,Consumption (kWh),Number of meters,Mean consumption (kWh per meter),Median consumption (kWh per meter)
E02002620,E01012644,14459514.2,823,17569.28,16307.54
E02002620,E01012655,7198826.64,699,10298.75,7344.76
E02002621,E01012571,5889759.06,486,12118.85,11607.25
E02002621,E01012572,6549748.29,518,12644.3,11912.34
E02002621,E01012573,8545853.09,538,15884.49,15175.32
E02002621,E01012575,6376170.42,544,11720.9,8905.97
E02002621,E01012630,9412772.77,626,15036.38,14356.02
E02002622,E01012576,7036372.18,568,12387.98,10704.21
E02002622,E01012637,8013811.95,683,11733.25,11137.12
E02002622,E01012638,6933124.39,685,10121.35,10177.28
E02002622,E01012639,8867825.66,774,11457.14,10643.98
E02002622,E01012640,9580203.72,789,12142.21,11428.99
E02002622,E01012641,6811275.22,585,11643.21,11159.65
E02002623,E01012595,8412628.8,873,9636.46,8680.71
E02002623,E01012596,9657888.34,933,10351.43,9199.8
E02002623,E01012622,6588727.72,748,8808.46,7426.05
E02002623,E01012623,7431210.58,668,11124.57,10433.4
E02002623,E01012624,7525185.11,733,10266.28,9221.35
E02002623,E01012625,7954256.61,814,9771.81,9489.23
E02002624,E01012584,11521297.75,512,22502.53,21953.48
E02002624,E01012609,9192941.23,625,14708.71,14142.02
E02002624,E01012610,6800439.76,477,14256.69,13414.3
E02002624,E01012611,8869819.78,487,18213.18,15875.61
E02002624,E01012612,9490729.68,633,14993.25,14277.18
E02002624,E01012613,7785835.46,520,14972.76,14741.43
E02002625,E01012600,6841456.42,643,10639.9,10289.91
E02002625,E01012601,6460253.67,589,10968.17,10525.95
E02002625,E01012602,8629592.56,681,12671.94,12240.94
E02002625,E01012603,7084464.25,699,10135.14,9675.81
E02002625,E01012604,7975349.66,626,12740.18,12236.53
E02002625,E01012632,11861481.88,784,15129.44,13778.16
E02002626,E01012594,6192457.39,600,10320.76,9922.14
E02002626,E01012618,8481078.35,665,12753.5,11944.17
E02002626,E01012619,6156504.41,572,10763.12,10341.82
E02002626,E01012620,9745387.86,679,14352.56,13690.5
E02002626,E01012621,7137127.33,703,10152.39,9761.02
E02002627,E01012593,9423505.39,762,12366.8,11497.55
E02002627,E01012597,9494734.57,682,13921.9,13719.39
E02002627,E01012598,15394437.81,1007,15287.43,14882.47
E02002627,E01012599,6375646.43,503,12675.24,12253.67
E02002628,E01012589,7974341.82,702,11359.46,10312.93
E02002628,E01012590,8146722.82,680,11980.47,11112.14
E02002628,E01012591,7489037.22,655,11433.64,10648.38
E02002628,E01012648,6149371.2,592,10387.45,9853.09
E02002628,E01012652,11677274.24,670,17428.77,16408.42
E02002629,E01012617,7578103.82,609,12443.52,11913.81
E02002629,E01012646,8906948.09,789,11288.91,10905
E02002629,E01012647,6836554.36,667,10249.71,9327.13
E02002629,E01012650,7150980.41,643,11121.28,10367.29
E02002630,E01012649,6823589.62,639,10678.54,8978.45
E02002630,E01012651,8913480.9,685,13012.38,12579.82
E02002630,E01012653,9281778.65,681,13629.63,11148.87
E02002630,E01012654,10667807.05,843,12654.58,10717.92
E02002631,E01012614,9986772.77,664,15040.32,14699.8
E02002631,E01012615,8059406.46,645,12495.2,11416.26
E02002631,E01012616,10554005.88,782,13496.17,12743.39
E02002631,E01012659,9359657.2,601,15573.47,14421.16
E02002631,E01012660,8059061.7,459,17557.87,16498.53
E02002631,E01012661,8286707.15,690,12009.72,11300.2
E02002632,E01012592,11597277.18,686,16905.65,15727.23
E02002632,E01012628,5253757.1,277,18966.63,16926.54
E02002632,E01032485,12583727.72,596,21113.64,19087.17
E02002632,E01032486,11001523.02,592,18583.65,17654.26
E02002633,E01012663,9329175.32,631,14784.75,14209.6
E02002633,E01012664,8999278.16,707,12728.82,12246.82
E02002633,E01012665,9444241.92,856,11032.99,10556.32
E02002633,E01012716,7778278.16,563,13815.77,12790.4
E02002633,E01012719,8956599.41,672,13328.27,12906.46
E02002634,E01012662,8192914.79,881,9299.56,8695.4
E02002634,E01012703,8863068.56,737,12025.87,11172.38
E02002634,E01012704,8258568.07,993,8316.79,7778.65
E02002634,E01012706,8033531.83,744,10797.76,9987.27
E02002634,E01012717,11547963.76,730,15819.13,15223.8
E02002635,E01012666,9087892.26,619,14681.57,12727.72
E02002635,E01012667,9801352.6,669,14650.75,13969.64
E02002635,E01012668,10034007.84,733,13688.96,13126.35
E02002635,E01012669,9270057.79,639,14507.13,13795.3
E02002635,E01012718,10922995.1,759,14391.3,13989.23
E02002636,E01012690,8961621.94,741,12093.96,11393.73
E02002636,E01012691,9321909.89,779,11966.51,11024.49
E02002636,E01012692,8423096.96,833,10111.76,9379.04
E02002636,E01012705,7952682.66,744,10689.09,10063.17
E02002636,E01012723,7836197.85,602,13016.94,12046.03
E02002637,E01012693,8842788.44,754,11727.84,10632.22
E02002637,E01012711,7162066.6,639,11208.24,10693.44
E02002637,E01012747,11656144.96,675,17268.36,16656.22
E02002637,E01012750,10775612.14,773,13939.99,13222.33
E02002638,E01012681,10777126.35,712,15136.41,9518.61
E02002638,E01012683,6407679.73,562,11401.57,9628.8
E02002638,E01012748,10215734.57,659,15501.87,12770.81
E02002638,E01012749,10699281.1,636,16822.77,16726.74
E02002639,E01012707,5968368.27,575,10379.77,9419.2
E02002639,E01012720,6448552.4,652,9890.42,9198.82
E02002639,E01012721,5621884.43,703,7996.99,8014.69
E02002639,E01012724,5512617.04,641,8600.03,7936.34
E02002640,E01012678,3222651.32,387,8327.26,7213.52
E02002640,E01012679,5212436.83,602,8658.53,8081.78
E02002640,E01012680,6765596.47,693,9762.77,8851.13
E02002640,E01012682,6531501.47,789,8278.2,6874.63
E02002640,E01012684,5164926.54,660,7825.65,6981.39
E02002641,E01012676,7656343.78,599,12781.88,12469.15
E02002641,E01012677,9781861.9,650,15049.02,13877.08
E02002641,E01012708,7940574.93,662,11994.83,11259.06
E02002641,E01012709,7768188.05,782,9933.74,8850.15
E02002641,E01012710,8614444.66,503,17126.13,14801.18
E02002641,E01012722,7182640.55,455,15786.02,14456.42
E02002642,E01012673,6271336.92,634,9891.7,7356.51
E02002642,E01012675,8172332.03,787,10384.16,9160.63
E02002642,E01012735,8172881.49,572,14288.25,12277.18
E02002642,E01012736,13386102.84,620,21590.49,18634.67
E02002642,E01012737,9425072.48,737,12788.43,9124.39
E02002643,E01012670,5595002.94,628,8909.24,7579.82
E02002643,E01012733,5490384.92,441,12449.85,11098.92
E02002643,E01012734,8416576.89,676,12450.56,11467.68
E02002643,E01012738,6167387.86,558,11052.67,10130.75
E02002643,E01012739,6663397.65,594,11217.84,10557.3
E02002643,E01012742,6759735.55,494,13683.68,12921.16
E02002644,E01012712,10154921.65,730,13910.85,13291.87
E02002644,E01012713,9526157.69,804,11848.45,11574.93
E02002644,E01012715,9674431.93,729,13270.83,12240.94
E02002644,E01012740,9472077.38,599,15813.15,14619.98
E02002644,E01012741,8276083.25,622,13305.6,12777.18
E02002645,E01012671,9274863.86,664,13968.17,10542.12
E02002645,E01012672,8521378.06,629,13547.5,9957.88
E02002645,E01012674,8060002.94,712,11320.23,10638.1
E02002645,E01012751,9554028.4,606,15765.72,11865.33
E02002646,E01012686,6411126.35,654,9802.95,9278.16
E02002646,E01012687,5273300.69,562,9383.1,8946.13
E02002646,E01012688,6418456.42,604,10626.58,9049.95
E02002646,E01012689,6931351.62,615,11270.49,10371.2
E02002646,E01012714,9214745.35,757,12172.72,11262.49
E02002647,E01012695,6887032.32,670,10279.15,9499.51
E02002647,E01012743,8725211.56,740,11790.83,10980.41
E02002647,E01012744,7377703.23,728,10134.21,9565.62
E02002647,E01012745,8935493.63,748,11945.85,11343.29
E02002647,E01012746,9302003.92,807,11526.65,10825.66
E02002648,E01012685,7050943.19,672,10492.47,10021.55
